Dati aggregati delle interazioni con i tuoi post organici e sponsorizzati nel corso del tempo. La data indica quando i tuoi post sono stati visualizzati dagli utenti LinkedIn. La data è posticipata di un massimo di 2 giorni. Tutte le date e gli orari sono nel fuso orario UTC.;;;;;;;;;;;;;;;;;;;
Data;Impressioni (organiche);Impressioni (sponsorizzate);Impressioni (totale);Impressioni uniche (organiche);Clic (organici);Clic (sponsorizzati);Clic (totale);Reazioni (organiche);Reazioni (sponsorizzate);Reazioni (totale);Commenti (organici);Commenti (sponsorizzati);Commenti (totale);Diffusioni post (organiche);Diffusioni post (sponsorizzate);Diffusioni post (totali);Percentuale di interesse (organico);Percentuale di interesse (sponsorizzato);Percentuale di interesse (totale)
02/07/2026;40;0;40;33;1;0;1;1;0;1;0;0;0;0;0;0;0,05;0;0,05
02/08/2026;73;0;73;54;7;0;7;0;0;0;0;0;0;0;0;0;0,0958904109589041;0;0,0958904109589041
02/09/2026;64;0;64;44;2;0;2;1;0;1;0;0;0;0;0;0;0,046875;0;0,046875
02/10/2026;71;0;71;44;9;0;9;1;0;1;0;0;0;0;0;0;0,140845070422535;0;0,140845070422535
02/11/2026;97;0;97;51;155;0;155;8;0;8;0;0;0;0;0;0;1,68041237113402;0;1,68041237113402
02/12/2026;195;0;195;50;1;0;1;1;0;1;0;0;0;0;0;0;0,0102564102564103;0;0,0102564102564103
02/13/2026;117;0;117;25;7;0;7;9;0;9;0;0;0;0;0;0;0,136752136752137;0;0,136752136752137
02/14/2026;25;0;25;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/15/2026;18;0;18;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/16/2026;103;0;103;55;0;0;0;4;0;4;0;0;0;0;0;0;0,0388349514563107;0;0,0388349514563107
02/17/2026;176;0;176;73;1;0;1;9;0;9;0;0;0;0;0;0;0,0568181818181818;0;0,0568181818181818
02/18/2026;162;0;162;95;1;0;1;10;0;10;0;0;0;0;0;0;0,0679012345679012;0;0,0679012345679012
02/19/2026;106;0;106;55;6;0;6;3;0;3;0;0;0;0;0;0;0,0849056603773585;0;0,0849056603773585
