"Inizio dei report","Fine dei report","Nome dell'inserzione","Pubblicazione dell'inserzione","Impostazione di attribuzione",Risultati,"Indicatore di risultato",Copertura,Frequenza,"Costo per risultati","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Fine,"Valutazione della qualità","Valutazione del tasso di coinvolgimento","Classificazione tasso di conversione",Impression,"CPM (costo per 1000 impression) (EUR)","Clic sul link",shop_clicks,"CPC (costo per clic sul link) (EUR)","CTR (tasso di clic sul link)","Clic (tutti)","CTR (tutti)","CPC (tutti i clic) (EUR)","Visualizzazioni della pagina di destinazione","Costo per visualizzazione della pagina di destinazione (EUR)","Visite al profilo Instagram","Follower di Instagram","Interazione con la Pagina","Acquisto BEAM","Costo per tipo di azione Acquisto BEAM","Inizio acquisto BEAM","Costo per tipo di azione Inizio acquisto BEAM","Lead Report BEAM","Costo per tipo di azione Lead Report BEAM","Nome della campagna","Nome del gruppo di inserzioni"
2025-11-01,2026-05-31,creative,not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",244,actions:offsite_conversion.custom.2621245911592027,50471,1.800797,2.23245902,10,Giornaliero,544.72,"In corso",-,-,-,90888,5.99331,996,,0.546908,1.095854,1292,1.42153,0.42161,847,0.643117,179,26,1847,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","BROAD IT - creative"
2025-11-01,2026-05-31,"creative - Copia",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",10,actions:offsite_conversion.custom.2621245911592027,2322,1.398363,2.166,10,Giornaliero,21.66,"In corso",-,-,-,3247,6.670773,36,,0.601667,1.108716,55,1.693871,0.393818,24,0.9025,8,1,59,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","BROAD IT - creative"
2025-11-01,2026-05-31,"creative - Copia 2",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",61,actions:offsite_conversion.custom.2621245911592027,13517,1.496708,1.66934426,10,Giornaliero,101.83,"In corso",-,-,-,20231,5.033365,234,,0.435171,1.156641,515,2.545598,0.197728,202,0.504109,10,2,308,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","BROAD IT - creative"
2025-11-01,2026-05-31,"creative - Copia 3",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",1,actions:offsite_conversion.custom.2621245911592027,2243,1.053054,7.53,10,Giornaliero,7.53,"In corso",-,-,-,2362,3.187976,15,,0.502,0.635055,23,0.973751,0.327391,13,0.579231,4,1,18,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","BROAD IT - creative"
2025-11-01,2026-05-31,"creative - Copia 4",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",1,actions:offsite_conversion.custom.2621245911592027,207,1.285024,1.51,10,Giornaliero,1.51,"In corso",-,-,-,266,5.676692,1,,1.51,0.37594,1,0.37594,1.51,1,1.51,0,0,3,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","BROAD IT - creative"
2025-11-01,2026-05-31,"creative - Copia",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",93,actions:offsite_conversion.custom.2621245911592027,27368,1.516516,2.78827957,10,Giornaliero,259.31,"In corso",-,-,-,41504,6.247832,401,,0.646658,0.966172,536,1.291442,0.483787,345,0.751623,74,11,785,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","HOSPITALITY IT - creative"
2025-11-01,2026-05-31,"creative - Copia 3",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",122,actions:offsite_conversion.custom.2621245911592027,26106,1.836245,2.62491803,10,Giornaliero,320.24,"In corso",-,-,-,47937,6.680435,600,,0.533733,1.251643,1214,2.532491,0.263789,510,0.627922,60,10,926,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","HOSPITALITY IT - creative"
2025-11-01,2026-05-31,"creative - Copia 2",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",15,actions:offsite_conversion.custom.2621245911592027,4569,1.490042,3.04466667,10,Giornaliero,45.67,"In corso",-,-,-,6808,6.708284,62,,0.736613,0.910693,96,1.410106,0.475729,43,1.062093,10,2,108,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","HOSPITALITY IT - creative"
2025-11-01,2026-05-31,"creative - Copia 4",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",3,actions:offsite_conversion.custom.2621245911592027,928,1.220905,3.17333333,10,Giornaliero,9.52,"In corso",-,-,-,1133,8.402471,13,,0.732308,1.147396,19,1.676964,0.501053,7,1.36,3,0,17,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","HOSPITALITY IT - creative"
2025-11-01,2026-05-31,"creative - Copia 5",not_delivering,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",2,actions:offsite_conversion.custom.2621245911592027,418,1.124402,1.805,10,Giornaliero,3.61,"In corso",-,-,-,470,7.680851,5,,0.722,1.06383,9,1.914894,0.401111,7,0.515714,0,0,6,,,,,,,"[MACC] BEAM | Lead | Lead Magnet","HOSPITALITY IT - creative"
